"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ETE","Energy Transfer Equity, L.P.","18.9","$20.4B","2006","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ete",
"ETP","ENERGY TRANSFER PARTNERS","35.85","$26.32B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"ERF","Enerplus Corporation","8.15","$1.96B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/erf",
"ENS","Enersys","77.53","$3.37B","2004","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ens",
"EGL","Engility Holdings, Inc.","27.91","$1.03B","2015","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/egl",
"E","ENI S.p.A.","32.5","$59.06B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ENLK","EnLink Midstream Partners, LP","18.58","$6.37B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enlk",
"ENLC","EnLink Midstream, LLC","19.5","$3.51B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","16.4","$419.43M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","14","$466.1M","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","68.85","$1.47B","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","9.34","$2.84B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ETM","Entercom Communications Corporation","13.9","$564.02M","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, Inc.","24.5433","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eab",
